Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-02-26 17:32:41;255.03
2023-02-26 17:47:41;255.38
2023-02-26 18:02:41;254.81
2023-02-26 18:17:41;254.63
2023-02-26 18:32:41;254.91
2023-02-26 18:47:41;254.22
2023-02-26 19:02:41;255.28
2023-02-26 19:17:41;255.69
2023-02-26 19:32:41;255.63
2023-02-26 19:47:41;255.81
2023-02-26 20:02:41;256.22
2023-02-26 20:17:41;256.66
2023-02-26 20:32:41;255.91
2023-02-26 20:47:41;255.97
2023-02-26 21:02:41;255.13
2023-02-26 21:17:41;255.63
2023-02-26 21:32:41;256.63
2023-02-26 21:47:41;256.28
2023-02-26 22:02:41;256.16
2023-02-26 22:17:41;256.56
2023-02-26 22:32:41;256.44
2023-02-26 22:47:41;256.97
2023-02-26 23:02:41;254.13
2023-02-26 23:17:41;255.78
2023-02-26 23:32:41;256.75
2023-02-26 23:47:41;254.88
2023-02-27 00:02:41;255.06
2023-02-27 00:17:41;256.5
2023-02-27 00:32:41;255.16
2023-02-27 00:47:41;255.41
2023-02-27 01:02:41;256.69
2023-02-27 01:17:41;253.69
2023-02-27 01:32:41;256.56
2023-02-27 01:47:41;255.03
2023-02-27 02:02:41;255.09
2023-02-27 02:17:41;256.41
2023-02-27 02:32:41;253.38
2023-02-27 02:47:41;255.88
2023-02-27 03:02:41;256.31
2023-02-27 03:17:41;252.75
2023-02-27 03:32:41;255.81
2023-02-27 03:47:41;256.72
2023-02-27 04:02:41;253.5
2023-02-27 04:17:41;256.53
2023-02-27 04:32:41;256.81
2023-02-27 04:47:41;253.31
2023-02-27 05:02:41;256.38
2023-02-27 05:17:41;257.03
2023-02-27 05:32:41;254.38
2023-02-27 05:47:41;255.47
2023-02-27 06:02:41;255.97
2023-02-27 06:17:41;254.91
2023-02-27 06:32:41;254.81
2023-02-27 06:47:41;255.81
2023-02-27 07:02:41;255.38
2023-02-27 07:17:41;254.66
2023-02-27 07:32:41;253.75
2023-02-27 07:47:41;253.28
2023-02-27 08:02:41;253.69
2023-02-27 08:17:41;254.03
2023-02-27 08:32:41;255.31
2023-02-27 08:47:41;255.63
2023-02-27 09:02:41;256.16
2023-02-27 09:17:41;256.25
2023-02-27 09:32:41;256.31
2023-02-27 09:47:41;254.97
2023-02-27 10:02:41;255.63
2023-02-27 10:17:41;255.38
2023-02-27 10:32:41;254.69
2023-02-27 10:47:41;254.69
2023-02-27 11:02:41;255.0
2023-02-27 11:17:41;255.38
2023-02-27 11:32:41;255.41
2023-02-27 11:47:41;255.63
2023-02-27 12:02:41;256.06
2023-02-27 12:17:41;256.41
2023-02-27 12:32:41;256.47
2023-02-27 12:47:41;256.31
2023-02-27 13:02:41;255.81
2023-02-27 13:17:41;256.31
2023-02-27 13:32:41;256.34
2023-02-27 13:47:41;256.41
2023-02-27 14:02:41;256.75
2023-02-27 14:17:41;257.03
2023-02-27 14:32:41;256.63
2023-02-27 14:47:41;256.88
2023-02-27 15:02:41;257.31
2023-02-27 15:17:41;256.22
2023-02-27 15:32:41;255.97
2023-02-27 15:47:41;256.06
2023-02-27 16:02:41;256.47
2023-02-27 16:17:41;256.56
2023-02-27 16:32:41;257.06
2023-02-27 16:47:41;256.91
2023-02-27 17:02:41;256.28
2023-02-27 17:17:41;256.91
2023-02-27 17:32:41;255.81
2023-02-27 17:47:41;255.31
2023-02-27 18:02:41;254.16
2023-02-27 18:17:41;253.13
2023-02-27 18:32:41;253.88
2023-02-27 18:47:41;253.69
2023-02-27 19:02:41;253.5
2023-02-27 19:17:41;253.75
2023-02-27 19:32:41;253.56
2023-02-27 19:47:41;254.47
